question,document
"Czy muszę określić, czy korzystam z OLX prywatnie czy jako przedsiębiorca, aby mieć pełną funkcjonalność konta?",aa9e24ac
"Czy mogę założyć konto na OLX, jeśli jestem osobą fizyczną?",84d8b35f
Jakie rodzaje podmiotów mogą posiadać konto na OLX?,84d8b35f
Czy osoby prawne mogą korzystać z OLX?,84d8b35f
Kto może zarządzać kontem na OLX w imieniu osoby prawnej?,84d8b35f
Czy jednostka organizacyjna nieposiadająca osobowości prawnej może mieć konto na OLX?,84d8b35f
Czy mogę mieć więcej niż jedno konto na platformie OLX?,d30e6624
W jakich sytuacjach mogę posiadać dodatkowe konto na OLX?,d30e6624
"Czy mogę mieć dwa konta na OLX, jedno prywatne i jedno do celów biznesowych?",d30e6624
Czy OLX pozwala na posiadanie kilku kont przez jednego użytkownika prowadzącego działalność gospodarczą?,d30e6624
"Czy mogę założyć nowe konto na OLX, jeśli zapomnę hasła do obecnego?",d30e6624
"Jakie kroki należy podjąć, aby zarejestrować nowe konto na platformie OLX?",f018251f
Czy rejestracja konta na OLX wymaga podania adresu email i stworzenia hasła?,f018251f
"Czy istnieje możliwość zarejestrowania konta na OLX za pomocą konta na Facebooku, Google lub Apple?",f018251f
Czy podczas rejestracji konta na OLX wymagane jest zapoznanie się z Regulaminem i jego załącznikami?,f018251f
Jakie dane są wymagane w formularzu rejestracyjnym na platformie OLX?,f018251f
W jaki sposób OLX przetwarza dane osobowe użytkowników?,ea07084a
Czy OLX przetwarza dane osób działających w imieniu użytkowników?,ea07084a
Jak OLX przetwarza dane osób odwiedzających stronę jako goście?,ea07084a
Gdzie można znaleźć informacje o przetwarzaniu danych przez OLX?,ea07084a
Czy OLX przestrzega Polityki Prywatności przy przetwarzaniu danych?,ea07084a
Jak przebiega proces aktywacji konta na platformie OLX?,33813c2c
"Co robić, jeśli nie otrzymałem emaila z linkiem aktywacyjnym po rejestracji?",33813c2c
"Czy mogę ponownie zarejestrować się używając tego samego adresu email, jeśli nie aktywowałem konta na czas?",33813c2c
Jak długo ważny jest link aktywacyjny przesłany w emailu rejestracyjnym?,33813c2c
Co zawiera email potwierdzający rejestrację konta na OLX?,33813c2c
Jakie dane muszę podać podczas procesu Rejestracji na platformie OLX?,a74246e6
Czy mogę podać nieprawdziwe dane podczas korzystania z Serwisu OLX?,a74246e6
"Co zrobić, jeśli moje dane osobowe uległy zmianie po Rejestracji?",a74246e6
Jakie są konsekwencje podania nieaktualnych lub nieprawdziwych danych na OLX?,a74246e6
"Czy OLX ma prawo zablokować moje konto, jeśli moje dane są nieprawdziwe lub nieaktualne?",a74246e6
Czy osoba działająca w imieniu użytkownika prawnego musi mieć specjalne upoważnienie?,1f9773b9
Jakie wymagania musi spełniać osoba działająca na rzecz jednostki organizacyjnej bez osobowości prawnej?,1f9773b9
Czy OLX może wymagać dodatkowych dokumentów weryfikujących umocowanie osoby działającej w imieniu użytkownika?,1f9773b9
"Jak OLX weryfikuje, czy osoba reprezentująca firmę ma prawo do działania w jej imieniu?",1f9773b9
Czy mogę działać w imieniu swojej firmy na OLX bez dostarczenia dodatkowych dokumentów?,1f9773b9
Jakie są obowiązki użytkownika w zakresie ochrony danych dostępowych do Konta na OLX?,bf244995
"Co powinien zrobić użytkownik, gdy jego dane dostępowe do Konta zostaną przejęte przez osoby trzecie?",bf244995
Jak OLX rekomenduje użytkownikom zachowywanie poufności danych dostępowych do Konta?,bf244995
"Jakie kroki należy podjąć, gdy podejrzewam, że ktoś nieupoważniony uzyskał dostęp do mojego Konta OLX?",bf244995
"Czy użytkownik jest zobowiązany do zgłaszania OLX sytuacji, w której jego dane dostępowe do Konta zostały ujawnione?",bf244995
Na jak długo zawierana jest umowa usługi Konta na platformie OLX?,0f5525bd
Od kiedy obowiązuje umowa usługi Konta na OLX?,0f5525bd
W jaki sposób użytkownik może rozwiązać umowę usługi Konta na OLX?,0f5525bd
Co dzieje się z innymi umowami między użytkownikiem a Grupą OLX po usunięciu Konta?,0f5525bd
Czy OLX zwróci pieniądze za niewykorzystane usługi płatne po usunięciu Konta?,0f5525bd
"Jakie kroki musi podjąć użytkownik, aby usunąć Konto, jeśli ma zgromadzone środki na Portfelu OLX?",0f5525bd
"Czy użytkownik będzie informowany o konieczności kontaktu z Grupą OLX, jeśli chce usunąć Konto ze środkami w Portfelu OLX?",0f5525bd
Co traci użytkownik po usunięciu Konta lub rozwiązaniu umowy Konta na OLX?,0f5525bd
"Czy OLX może rozwiązać moją umowę, jeśli nie korzystałem z Konta przez ponad 24 miesiące?",b61f3a70
Czy otrzymam powiadomienie przed rozwiązaniem umowy przez OLX?,b61f3a70
Jak długo przed rozwiązaniem umowy przez OLX dostanę informację na e-mail?,b61f3a70
"W jaki sposób mogę powstrzymać rozwiązanie umowy przez OLX, jeśli otrzymam takie powiadomienie?",b61f3a70
Co się stanie z moim Kontem po rozwiązaniu umowy przez OLX i czy mogę je ponownie zarejestrować?,b61f3a70
Dlaczego Grupa OLX ma prawo zwracać się do Użytkowników Biznesowych o przekazanie dodatkowych danych lub weryfikację danych?,a67ae3a0
W jakim celu OLX może żądać potwierdzenia tożsamości użytkownika lub informacji zawartych w Ogłoszeniu?,a67ae3a0
"Co może się stać, jeśli weryfikacja danych użytkownika na platformie OLX nie powiedzie się?",a67ae3a0
Na jakiej podstawie OLX może zawiesić lub zablokować działanie konta użytkownika?,a67ae3a0
Który punkt regulaminu OLX określa zasady zawieszenia lub blokady konta użytkownika w przypadku niepowodzenia weryfikacji danych?,a67ae3a0
Czy mogę zrezygnować z umowy z Grupą OLX bez podania przyczyny?,47ae523b
Jaki jest termin na odstąpienie od umowy zawartej z Grupą OLX?,47ae523b
"Czy muszę spełnić jakieś specjalne warunki, aby odstąpić od umowy z Grupą OLX?",47ae523b
Gdzie mogę znaleźć wzór formularza odstąpienia od umowy z Grupą OLX?,47ae523b
"Co się stanie z moim kontem na OLX, jeśli odstąpię od umowy w ciągu 14 dni?",47ae523b
"Jak Użytkownik Biznesowy może rozwiązać umowę usługi Konta, jeśli nie akceptuje zmian Regulaminu?",2b0d81ee
W jaki sposób Użytkownik Biznesowy jest informowany o zmianach do Regulaminu?,2b0d81ee
"Jakie kroki musi podjąć Użytkownik Biznesowy, aby rozwiązać umowę usługi Konta w przypadku braku akceptacji zmian do Regulaminu?",2b0d81ee
Jaki jest termin na powiadomienie Grupy OLX o chęci rozwiązania umowy usługi Konta po ogłoszeniu zmian do Regulaminu?,2b0d81ee
"Co się stanie, jeśli Użytkownik Biznesowy opublikuje nowe ogłoszenie po powiadomieniu o zmianach Regulaminu?",2b0d81ee
questions,059738e5
"Czy jako użytkownik OLX muszę określić, czy działam jako przedsiębiorca czy osoba prywatna, zawierając transakcje?",0d8df57a
Czy mam obowiązek przestrzegać mojego statusu (przedsiębiorca lub osoba prywatna) podczas korzystania z Przesyłki OLX?,0d8df57a
"Czy realizując transakcje z usługą Płatności OLX, muszę działać zgodnie z deklarowaną rolą na OLX?",0d8df57a
"Co się stanie, jeśli nie będę działał zgodnie z moją deklaracją (przedsiębiorca lub użytkownik prywatny) podczas transakcji na OLX?",0d8df57a
Jakie są zalecenia OLX dla użytkowników dotyczące transakcji w odniesieniu do ich statusu (przedsiębiorca lub osoba prywatna)?,0d8df57a
"Czy użytkownik biznesowy musi podać swoje dane identyfikacyjne, aby opublikować ogłoszenie na OLX?",5c920aad
Czy dane kontaktowe użytkowników biznesowych są dostępne publicznie na OLX?,5c920aad
"Jakie informacje są wymagane od użytkowników biznesowych na OLX, aby korzystać z usług promowania?",5c920aad
Czy użytkownik biznesowy może korzystać z Przesyłki OLX bez przekazywania swoich danych identyfikacyjnych?,5c920aad
"Jakie dane musi przekazać użytkownik biznesowy, aby móc publikować ogłoszenia i korzystać z płatności OLX?",5c920aad
"Jakie działania mógłbym podjąć w serwisie, aby zakłócić jego prawidłowe funkcjonowanie?",bf80eb5e
Czy mogę ingerować w zawartość konta innego użytkownika bez jego zgody?,bf80eb5e
Jakie treści są uznawane za bezprawne i nie mogą być publikowane w serwisie OLX?,bf80eb5e
"Czy mogę sprzedawać rzeczy wymienione w załączniku 5, jeśli spełniam określone warunki?",bf80eb5e
Czy mogę wprowadzać kupujących w błąd co do cech sprzedawanych przedmiotów na OLX?,bf80eb5e
Czy użytkownik powinien przestrzegać zobowiązań określonych w punkcie 13.1 Regulaminu podczas całego korzystania z Serwisu?,fc0dd85c
Czy wymóg przestrzegania zobowiązań z punktu 13.1 Regulaminu dotyczy każdej funkcjonalności oferowanej na OLX?,fc0dd85c
Czy publikację ogłoszeń i przesyłanie wiadomości do innych użytkowników także obejmuje przestrzeganie zobowiązań z punktu 13.1 Regulaminu?,fc0dd85c
Czy zobowiązania z punktu 13.1 Regulaminu obowiązują mnie tylko w przypadku korzystania z określonych funkcji na OLX?,fc0dd85c
"Czy na każdym etapie korzystania z serwisu OLX muszę przestrzegać zobowiązań z punktu 13.1 Regulaminu, nawet podczas wysyłania wiadomości?",fc0dd85c
Czy OLX weryfikuje automatycznie wszystkie treści publikowane lub przesyłane w serwisie?,7bfb63ba
W jaki sposób odbywa się publikowanie i przesyłanie treści w serwisie OLX?,7bfb63ba
Czy publikowanie treści na OLX jest zautomatyzowane?,7bfb63ba
Czy Grupa OLX ręcznie weryfikuje wszystkie przesyłane treści?,7bfb63ba
Jakie narzędzia są używane do publikowania treści w serwisie OLX?,7bfb63ba
Czy mogę dokonać zmian w moim ogłoszeniu po jego publikacji na OLX?,7293f181
"Czy OLX sprawdza zmiany, które wprowadzam do mojego ogłoszenia po jego publikacji?",7293f181
"Co się stanie, jeśli zmiany wprowadzone w moim ogłoszeniu będą naruszać regulamin OLX?",7293f181
"Czy OLX może usunąć moje ogłoszenie, jeśli wprowadzone przeze mnie zmiany są niezgodne z regulaminem?",7293f181
"Jakie działania podejmie OLX, jeśli zaktualizowana treść mojego ogłoszenia narusza przepisy prawa?",7293f181
"Jak mogę zgłosić treść na OLX, która jest bezprawna lub niezgodna z regulaminem?",20bdbe32
"Jakie informacje są potrzebne, aby zgłosić nadużycie na OLX?",20bdbe32
Gdzie znajdę funkcjonalność 'zgłoś naruszenie' na OLX?,20bdbe32
Czy muszę podawać swoje dane kontaktowe przy zgłaszaniu nadużycia na OLX?,20bdbe32
Co to jest ID Ogłoszenia i dlaczego jest potrzebne przy zgłaszaniu nadużycia na OLX?,20bdbe32
"Co się dzieje, gdy OLX uzyska wiarygodną informację o bezprawnej treści przesyłanej w serwisie?",15542325
"Jakie działania podejmie OLX, jeśli treść ogłoszenia narusza regulamin?",15542325
"Czy OLX może zablokować ogłoszenie, jeśli zostanie zgłoszone nadużycie?",15542325
W jaki sposób OLX informuje użytkownika o zablokowanej treści?,15542325
"Czy są sytuacje, w których OLX nie musi informować użytkownika o blokadzie treści?",15542325
Czy Użytkownik Biznesowy może zakwestionować decyzję o blokadzie treści opublikowanej na OLX?,51a23b03
"Jakie kroki należy podjąć, aby złożyć sprzeciw wobec blokady treści w serwisie OLX?",51a23b03
"Co się dzieje, gdy sprzeciw Użytkownika Biznesowego dotyczący blokady treści zostanie uznany za zasadny?",51a23b03
Czy zablokowane ogłoszenie objęte Usługami Odpłatnymi będzie przywrócone w serwisie OLX?,51a23b03
"W jaki sposób OLX zwraca opłaty za emisję ogłoszenia, które zostało zablokowane, jeśli sprzeciw jest uznany za zasadny?",51a23b03
"Co się dzieje z treścią zablokowaną, jeśli sprzeciw użytkownika biznesowego uznano za bezzasadny?",0e8ded0c
"Co się stanie, jeśli użytkownik biznesowy nie wniesie sprzeciwu w terminie 7 dni od pozyskania informacji, o której mowa w punkcie 13.6.c?",0e8ded0c
"Czy zablokowana treść zostaje usunięta, jeśli sprzeciw użytkownika biznesowego jest bezzasadny?",0e8ded0c
"W jakim terminie musi użytkownik biznesowy wnieść sprzeciw, aby uniknąć bezpowrotnego usunięcia treści z serwisu?",0e8ded0c
Jakie są konsekwencje nie wniesienia sprzeciwu przez użytkownika biznesowego w odpowiednim czasie?,0e8ded0c
"Czy OLX może usunąć moje ogłoszenie, jeśli istnieje podejrzenie, że zagraża ono bezpieczeństwu innych użytkowników?",6a293a6d
Pod jakimi warunkami OLX może zablokować moje konto?,6a293a6d
W jakich sytuacjach OLX ma prawo usunąć moje ogłoszenie z platformy?,6a293a6d
"Czy OLX może usunąć moje ogłoszenie, które negatywnie wpływa na dobre imię firmy?",6a293a6d
"Kiedy OLX może zablokować moje konto, jeśli moje działania szkodzą Grupie OLX?",6a293a6d
Co OLX może zrobić w przypadku poważnego naruszenia prawa z wykorzystaniem Serwisu?,368caa05
Jak działają kroki OLX w przypadku powtarzających się prób publikowania nielegalnych treści przez użytkownika?,368caa05
"Czy OLX może zawiesić konto użytkownika za powtarzające się naruszenia regulaminu, nawet jeśli używa on różnych kont?",368caa05
Co oznacza zawieszenie konta w OLX i jakie ograniczenia się z tym wiążą?,368caa05
Co oznacza zablokowanie konta użytkownika na OLX i jakie są jego skutki?,368caa05
Jakie działania podejmuje OLX w przypadku bezprawnych lub niezgodnych z Regulaminem działań Użytkowników w zakresie blokady lub zawieszenia Konta?,d261a76e
Kiedy i w jaki sposób Użytkownik zostanie poinformowany o blokadzie lub zawieszeniu swojego Konta na platformie OLX?,d261a76e
Co dokładnie znajduje się w wiadomości e-mail informującej o blokadzie lub zawieszeniu Konta na OLX?,d261a76e
"Jakie kroki może podjąć Użytkownik, który nie zgadza się z decyzją OLX o zablokowaniu lub zawieszeniu jego Konta?",d261a76e
Czy wniesienie sprzeciwu dotyczącego blokady lub zawieszenia Konta przez Użytkownika wpływa na jego prawo do składania reklamacji na OLX?,d261a76e
Na jakiej podstawie OLX podejmuje decyzje o blokadzie lub zawieszeniu treści lub Konta?,653d264c
Jakie polityki i procedury moderacyjne są stosowane przez Grupę OLX?,653d264c
W jaki sposób OLX identyfikuje treści lub działania naruszające Regulamin?,653d264c
Jakie są główne cele opracowanych przez OLX polityk i procedur moderacyjnych?,653d264c
Dlaczego ważne jest przestrzeganie regulaminu i przepisów prawa przez użytkowników OLX?,653d264c
W jaki sposób OLX identyfikuje treści naruszające regulamin lub przepisy prawa?,f1be8bd4
Czy OLX używa automatycznych narzędzi do moderowania treści użytkowników?,f1be8bd4
Jakie technologie OLX stosuje do analizy treści zamieszczanych w serwisie?,f1be8bd4
Czy wszystkie treści na OLX są weryfikowane przez automatyczne narzędzia moderacyjne?,f1be8bd4
Które działania użytkowników na OLX mogą być zidentyfikowane jako niezgodne z regulaminem dzięki automatycznym narzędziom?,f1be8bd4
Jakie działania Grupa OLX podejmuje w przypadku naruszenia postanowień Regulaminu dotyczących konta użytkownika?,74123939
Czy decyzje dotyczące naruszeń bezpieczeństwa serwisu OLX są podejmowane automatycznie?,74123939
Jakie działania Grupa OLX podejmuje w przypadku naruszenia przepisów prawa przez użytkownika?,74123939
"Kto decyduje o treściach zamieszczanych przez użytkowników, które mogą naruszać regulamin OLX?",74123939
Czy naruszenia zgłoszone przez innych użytkowników OLX są rozpatrywane przez zespół moderacyjny?,74123939
